SeriesID,VarID,SymbolID,StartTime,EndTime
1.0,1.0,3.0,2.0,49.0
1.0,1.0,2.0,50.0,67.0
1.0,2.0,4.0,9.0,10.0
1.0,3.0,8.0,9.0,10.0
1.0,4.0,12.0,9.0,10.0
1.0,5.0,13.0,1.0,2.0
1.0,6.0,18.0,1.0,2.0
1.0,6.0,16.0,2.0,3.0
1.0,6.0,16.0,9.0,10.0
1.0,7.0,20.0,16.0,49.0
1.0,7.0,20.0,54.0,67.0
1.0,7.0,21.0,50.0,53.0
1.0,8.0,23.0,2.0,8.0
1.0,8.0,23.0,12.0,15.0
1.0,8.0,23.0,29.0,49.0
1.0,8.0,23.0,54.0,64.0
1.0,8.0,24.0,9.0,11.0
1.0,8.0,24.0,16.0,28.0
1.0,8.0,24.0,50.0,53.0
1.0,8.0,22.0,65.0,67.0
1.0,9.0,26.0,2.0,3.0
1.0,9.0,26.0,9.0,15.0
1.0,9.0,26.0,21.0,22.0
1.0,9.0,25.0,3.0,8.0
1.0,9.0,25.0,16.0,20.0
1.0,9.0,25.0,23.0,67.0
1.0,10.0,30.0,2.0,53.0
1.0,10.0,30.0,60.0,64.0
1.0,10.0,29.0,54.0,59.0
1.0,10.0,29.0,65.0,67.0
2.0,1.0,3.0,9.0,67.0
2.0,1.0,2.0,3.0,8.0
2.0,2.0,4.0,5.0,6.0
2.0,2.0,5.0,4.0,5.0
2.0,2.0,5.0,6.0,7.0
2.0,2.0,5.0,8.0,9.0
2.0,2.0,5.0,28.0,29.0
2.0,2.0,6.0,9.0,10.0
2.0,2.0,6.0,11.0,12.0
2.0,2.0,6.0,15.0,16.0
2.0,2.0,6.0,17.0,20.0
2.0,2.0,6.0,22.0,24.0
2.0,2.0,6.0,27.0,28.0
2.0,2.0,6.0,29.0,31.0
2.0,2.0,6.0,34.0,35.0
2.0,2.0,6.0,36.0,38.0
2.0,2.0,6.0,40.0,41.0
2.0,2.0,6.0,42.0,43.0
2.0,2.0,6.0,45.0,46.0
2.0,2.0,6.0,47.0,48.0
2.0,2.0,6.0,49.0,50.0
2.0,5.0,13.0,9.0,10.0
2.0,5.0,13.0,12.0,13.0
2.0,5.0,13.0,17.0,18.0
2.0,5.0,13.0,24.0,25.0
2.0,5.0,13.0,31.0,32.0
2.0,5.0,13.0,34.0,35.0
2.0,5.0,13.0,42.0,43.0
2.0,5.0,13.0,51.0,52.0
2.0,7.0,20.0,28.0,31.0
2.0,7.0,21.0,24.0,27.0
2.0,7.0,21.0,32.0,33.0
2.0,7.0,21.0,67.0,68.0
2.0,7.0,19.0,33.0,66.0
2.0,8.0,23.0,3.0,8.0
2.0,8.0,23.0,11.0,15.0
2.0,8.0,23.0,28.0,32.0
2.0,8.0,23.0,67.0,68.0
2.0,8.0,24.0,9.0,10.0
2.0,8.0,24.0,16.0,27.0
2.0,8.0,22.0,33.0,66.0
2.0,9.0,26.0,32.0,33.0
2.0,9.0,26.0,44.0,51.0
2.0,9.0,26.0,67.0,68.0
2.0,9.0,25.0,52.0,55.0
2.0,9.0,27.0,3.0,31.0
2.0,9.0,27.0,33.0,43.0
2.0,9.0,27.0,56.0,66.0
2.0,10.0,30.0,9.0,32.0
2.0,10.0,30.0,44.0,51.0
2.0,10.0,30.0,67.0,68.0
2.0,10.0,29.0,52.0,66.0
2.0,10.0,28.0,3.0,8.0
2.0,10.0,28.0,33.0,43.0
2.0,11.0,33.0,3.0,31.0
2.0,11.0,33.0,56.0,59.0
2.0,11.0,32.0,32.0,55.0
2.0,11.0,32.0,60.0,67.0
3.0,1.0,1.0,23.0,67.0
3.0,2.0,5.0,5.0,6.0
3.0,6.0,16.0,5.0,6.0
3.0,7.0,20.0,23.0,67.0
3.0,8.0,22.0,23.0,67.0
3.0,9.0,25.0,23.0,67.0
3.0,10.0,30.0,23.0,67.0
5.0,1.0,2.0,40.0,67.0
5.0,1.0,1.0,14.0,39.0
5.0,2.0,4.0,1.0,2.0
5.0,2.0,5.0,4.0,6.0
5.0,2.0,5.0,9.0,10.0
5.0,2.0,5.0,11.0,13.0
5.0,2.0,5.0,15.0,16.0
5.0,2.0,5.0,19.0,23.0
5.0,2.0,5.0,26.0,30.0
5.0,2.0,5.0,32.0,33.0
5.0,2.0,5.0,37.0,38.0
5.0,2.0,5.0,39.0,40.0
5.0,2.0,5.0,42.0,44.0
5.0,2.0,5.0,46.0,49.0
5.0,2.0,6.0,3.0,4.0
5.0,2.0,6.0,10.0,11.0
5.0,2.0,6.0,14.0,15.0
5.0,2.0,6.0,16.0,17.0
5.0,2.0,6.0,18.0,19.0
5.0,2.0,6.0,24.0,25.0
5.0,2.0,6.0,36.0,37.0
5.0,5.0,15.0,10.0,11.0
5.0,5.0,15.0,12.0,51.0
5.0,5.0,14.0,2.0,4.0
5.0,5.0,14.0,6.0,7.0
5.0,5.0,14.0,9.0,10.0
5.0,5.0,14.0,11.0,12.0
5.0,6.0,16.0,14.0,16.0
5.0,6.0,16.0,18.0,19.0
5.0,7.0,19.0,14.0,67.0
5.0,8.0,22.0,14.0,67.0
5.0,9.0,26.0,14.0,66.0
5.0,9.0,27.0,67.0,68.0
5.0,10.0,30.0,14.0,67.0
5.0,11.0,31.0,14.0,67.0
6.0,1.0,3.0,1.0,67.0
6.0,2.0,5.0,8.0,9.0
6.0,2.0,5.0,11.0,12.0
6.0,2.0,5.0,14.0,15.0
6.0,2.0,5.0,18.0,19.0
6.0,2.0,5.0,20.0,21.0
6.0,2.0,5.0,22.0,23.0
6.0,2.0,5.0,27.0,28.0
6.0,2.0,5.0,29.0,30.0
6.0,2.0,5.0,34.0,36.0
6.0,2.0,5.0,39.0,40.0
6.0,2.0,5.0,41.0,42.0
6.0,2.0,5.0,44.0,45.0
6.0,2.0,5.0,47.0,48.0
6.0,2.0,6.0,24.0,25.0
6.0,3.0,7.0,35.0,40.0
6.0,3.0,7.0,43.0,44.0
6.0,3.0,7.0,48.0,49.0
6.0,3.0,7.0,53.0,54.0
6.0,4.0,12.0,43.0,44.0
6.0,4.0,10.0,35.0,40.0
6.0,4.0,10.0,42.0,43.0
6.0,4.0,10.0,44.0,45.0
6.0,4.0,10.0,47.0,48.0
6.0,4.0,10.0,49.0,50.0
6.0,4.0,10.0,52.0,53.0
6.0,5.0,13.0,12.0,13.0
6.0,5.0,13.0,19.0,20.0
6.0,5.0,13.0,27.0,28.0
6.0,5.0,13.0,33.0,37.0
6.0,5.0,13.0,40.0,41.0
6.0,5.0,15.0,20.0,21.0
6.0,6.0,16.0,35.0,36.0
6.0,6.0,16.0,39.0,40.0
6.0,6.0,16.0,42.0,43.0
6.0,6.0,16.0,45.0,46.0
6.0,6.0,16.0,50.0,51.0
6.0,6.0,16.0,53.0,54.0
6.0,6.0,17.0,36.0,37.0
6.0,7.0,20.0,32.0,53.0
6.0,7.0,21.0,16.0,31.0
6.0,7.0,21.0,62.0,67.0
6.0,7.0,19.0,54.0,61.0
6.0,8.0,23.0,32.0,36.0
6.0,8.0,23.0,62.0,67.0
6.0,8.0,24.0,1.0,31.0
6.0,8.0,22.0,37.0,61.0
6.0,9.0,26.0,12.0,67.0
6.0,9.0,27.0,1.0,11.0
6.0,10.0,30.0,22.0,61.0
6.0,10.0,29.0,62.0,67.0
6.0,11.0,33.0,1.0,11.0
6.0,11.0,32.0,12.0,21.0
6.0,11.0,32.0,32.0,67.0
6.0,11.0,31.0,22.0,31.0
6.0,12.0,36.0,40.0,41.0
6.0,12.0,34.0,41.0,42.0
7.0,1.0,3.0,12.0,36.0
7.0,1.0,3.0,40.0,46.0
7.0,1.0,3.0,54.0,62.0
7.0,1.0,3.0,66.0,67.0
7.0,1.0,2.0,2.0,9.0
7.0,1.0,2.0,37.0,39.0
7.0,1.0,2.0,47.0,53.0
7.0,1.0,2.0,63.0,65.0
7.0,1.0,1.0,10.0,11.0
7.0,2.0,6.0,7.0,9.0
7.0,2.0,6.0,12.0,13.0
7.0,3.0,8.0,12.0,20.0
7.0,3.0,8.0,46.0,47.0
7.0,3.0,8.0,50.0,53.0
7.0,3.0,7.0,42.0,43.0
7.0,3.0,7.0,45.0,46.0
7.0,3.0,9.0,1.0,9.0
7.0,3.0,9.0,44.0,45.0
7.0,4.0,12.0,1.0,33.0
7.0,4.0,12.0,35.0,53.0
7.0,4.0,10.0,34.0,35.0
7.0,5.0,13.0,1.0,12.0
7.0,5.0,13.0,14.0,33.0
7.0,5.0,13.0,36.0,41.0
7.0,5.0,15.0,35.0,36.0
7.0,5.0,15.0,44.0,45.0
7.0,5.0,15.0,50.0,51.0
7.0,5.0,14.0,42.0,43.0
7.0,5.0,14.0,46.0,49.0
7.0,6.0,16.0,13.0,14.0
7.0,6.0,16.0,47.0,48.0
7.0,6.0,16.0,50.0,51.0
7.0,6.0,17.0,49.0,50.0
7.0,6.0,17.0,52.0,53.0
7.0,7.0,20.0,26.0,42.0
7.0,7.0,21.0,21.0,25.0
7.0,7.0,21.0,43.0,62.0
7.0,7.0,19.0,63.0,67.0
7.0,8.0,23.0,10.0,11.0
7.0,8.0,23.0,26.0,36.0
7.0,8.0,24.0,2.0,9.0
7.0,8.0,24.0,13.0,25.0
7.0,8.0,24.0,37.0,62.0
7.0,8.0,22.0,12.0,13.0
7.0,8.0,22.0,63.0,67.0
7.0,9.0,26.0,37.0,42.0
7.0,9.0,25.0,10.0,18.0
7.0,9.0,25.0,26.0,36.0
7.0,9.0,25.0,43.0,62.0
7.0,9.0,27.0,19.0,25.0
7.0,9.0,27.0,63.0,67.0
7.0,10.0,29.0,21.0,29.0
7.0,10.0,29.0,43.0,46.0
7.0,10.0,28.0,2.0,20.0
7.0,10.0,28.0,30.0,42.0
7.0,10.0,28.0,47.0,67.0
7.0,11.0,32.0,63.0,67.0
7.0,11.0,31.0,43.0,62.0
7.0,12.0,36.0,14.0,16.0
7.0,12.0,36.0,18.0,19.0
7.0,12.0,36.0,26.0,33.0
7.0,12.0,36.0,35.0,42.0
7.0,12.0,36.0,48.0,49.0
7.0,12.0,34.0,17.0,18.0
7.0,12.0,34.0,19.0,20.0
7.0,12.0,34.0,21.0,25.0
7.0,12.0,34.0,43.0,44.0
7.0,12.0,34.0,46.0,47.0
7.0,12.0,34.0,50.0,51.0
9.0,1.0,3.0,25.0,30.0
9.0,1.0,2.0,2.0,24.0
9.0,1.0,2.0,41.0,42.0
9.0,1.0,1.0,31.0,40.0
9.0,1.0,1.0,43.0,67.0
9.0,2.0,4.0,8.0,9.0
9.0,2.0,4.0,12.0,13.0
9.0,2.0,5.0,14.0,16.0
9.0,2.0,5.0,18.0,19.0
9.0,2.0,5.0,22.0,23.0
9.0,2.0,5.0,27.0,28.0
9.0,2.0,5.0,29.0,30.0
9.0,2.0,5.0,31.0,32.0
9.0,2.0,5.0,33.0,34.0
9.0,2.0,5.0,35.0,36.0
9.0,2.0,5.0,37.0,38.0
9.0,2.0,5.0,42.0,45.0
9.0,2.0,5.0,47.0,48.0
9.0,2.0,5.0,49.0,50.0
9.0,4.0,10.0,49.0,50.0
9.0,5.0,15.0,1.0,3.0
9.0,5.0,15.0,6.0,9.0
9.0,5.0,15.0,11.0,20.0
9.0,5.0,15.0,22.0,39.0
9.0,5.0,15.0,42.0,51.0
9.0,6.0,18.0,43.0,44.0
9.0,6.0,18.0,49.0,50.0
9.0,6.0,16.0,9.0,19.0
9.0,6.0,16.0,22.0,23.0
9.0,6.0,16.0,24.0,25.0
9.0,6.0,16.0,27.0,29.0
9.0,6.0,16.0,31.0,32.0
9.0,6.0,16.0,33.0,38.0
9.0,6.0,16.0,42.0,43.0
9.0,6.0,16.0,45.0,48.0
9.0,6.0,16.0,51.0,52.0
9.0,7.0,20.0,25.0,30.0
9.0,7.0,20.0,41.0,42.0
9.0,7.0,20.0,53.0,62.0
9.0,7.0,21.0,15.0,24.0
9.0,7.0,21.0,31.0,36.0
9.0,7.0,21.0,43.0,47.0
9.0,7.0,19.0,37.0,40.0
9.0,7.0,19.0,48.0,52.0
9.0,7.0,19.0,63.0,67.0
9.0,8.0,23.0,25.0,30.0
9.0,8.0,23.0,41.0,42.0
9.0,8.0,23.0,53.0,57.0
9.0,8.0,24.0,2.0,24.0
9.0,8.0,24.0,31.0,36.0
9.0,8.0,24.0,43.0,47.0
9.0,8.0,24.0,58.0,62.0
9.0,8.0,22.0,37.0,40.0
9.0,8.0,22.0,48.0,52.0
9.0,8.0,22.0,63.0,67.0
9.0,9.0,26.0,37.0,40.0
9.0,9.0,26.0,43.0,47.0
9.0,9.0,27.0,2.0,36.0
9.0,9.0,27.0,41.0,42.0
9.0,9.0,27.0,48.0,67.0
